name,description,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,availability_365,review_scores_value,price
Modern-designed family apartment in the Pijp,"Amazing family apartment in the heart of the Pijp the most hip neighbourhood in Amsterdam. <br />Please note that our place is best suited for couple with kids, hence we are only renting it for families (with or without kids ;-).",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4,1.0,3.0,4.0,"['Free washer – In unit', 'Barbecue utensils', 'Babysitter recommendations', 'BBQ grill', 'Blender', 'Bathtub', 'Free dryer – In unit', 'Children’s books and toys', 'Board games', 'High chair', 'Baking sheet']",14,4.55,390.0
"Unique canal houseboat,  Amsterdam top spot (1)","This unique studio - The Prince - is ideal for those looking to stay in the centre of Amsterdam. Wonderful views, a peaceful spot, with fully equipped kitchenette, ensuite shower and luxury double bed. Within walking distance of shops, restaurants and the Amsterdam museums. This is a superb spot! :-) <br /><br />If you are looking for another space for friends or family I have an adjacent room, which you can book together, so ideal for 4.",Centrum-Oost,Private room in boat,Private room,2,1.0,0.0,1.0,['Canal view'],305,4.56,227.0
Charming canal apartment in Amsterdam,"Charming mini appartment on the ground floor of a canal house in the Jordaan, Amsterdam. Situated on a quiet and beautiful canal, the appartment is close to a variety of restaurants, bars and boutique shops.<br />It has a comfortable Swiss Sense bed (Kingsize), a cosy sitting area with canalview,  a kitchen corner with dinner table and a pleasant bathroom.",Centrum-West,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"['Outdoor furniture', 'Canal view', 'Children’s books and toys', 'Pack ’n play/Travel crib', 'High chair']",77,4.9,200.0
Cosy city apt with 1 bedroom and terrace,"This cosy city apartment is really central. It's 10 min walking from the Jordan area and only 10 min to reach Leidsesquare, the heart of the city.<br /><br />It has 1 bedroom, an openplan kitchen with living area and an outdoor terrace.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Piano', 'Free dryer – In unit']",48,4.38,183.0
Fris appartement met ruim balkon,"This fresh, newly renovated house is located next to Javaplein in the lively center of Amsterdam East, surrounded by nice restaurants and shops. Enjoy a new bathroom, kitchen and floor, and relax on the spacious balcony that has sun from 14:00. The house is cozy and stylishly decorated, with an extra room and wardrobe. Perfect for a comfortable and modern stay in the city!",Oostelijk Havengebied - Indische Buurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Outdoor furniture', 'Blender', 'Free dryer – In unit', 'Board games', 'Baking sheet']",53,5.0,160.0
Brand New Modern Apt. Perfect central location!,"Enjoy your stay at this brand new fully renovated modern apartment on the 1st floor, in the middle of a hip and lush area in Old-West. <br /><br />Located in a quiet street just 2 mins walk away from the busy area. Popular restaurants and cafe and tram stops with in 5 minute walk. There is also a market just a couple of minutes walking. The city center is just 5-8 mins bike away and 10 mins to the central station.<br /><br />Fully furnished home with everything you need- all things brand new.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,[],230,5.0,220.0
Exquisite Penthouse + Rooftop terrace -Jordan-Area,"Discover elegance in our Jordaan Penthouse Suite, effortlessly accessible with a lift plus a brief stairway. Perfect for four, it features grand king-size beds and a spacious bath. Luxuriate in the unique rooftop terrace, offering exclusive dining by Pesca Restaurant in our glasshouse. A captivating drone video awaits upon booking. Immerse in breathtaking views and the joy of togetherness. Welcome to your upscale retreat!<br /><br />You can check in until 23:00 ;-)",Centrum-West,Entire condo,Entire home/apt,4,1.5,2.0,2.0,"['Outdoor furniture', 'Bathtub', 'City skyline view', 'Outdoor dining area']",358,4.64,293.0
Anne's Place,"Enjoy a true Amsterdam experience. A perfect base to explore the city while feeling 'at home'.<br /><br />74m2 sunny, two-bedroom apartment looking out on a well-maintained garden. <br /><br />Located in the popular East side of Amsterdam there are different public transport options to take you to the city center. <br /><br />The area provides with many shops, restaurants and bars, a beautiful city park with picnic possibilities, a public pool and several playgrounds for children.",Oostelijk Havengebied - Indische Buurt,Entire condo,Entire home/apt,4,1.0,2.0,2.0,"['Barbecue utensils', 'Outdoor furniture', 'Blender', 'Bathtub', 'Children’s books and toys', 'Baking sheet']",187,4.0,321.0
Lovely Appartment near Vondelpark,"Welcome to your charming Amsterdam retreat! This cozy appartment in Oud-West offers 2 spacious bedrooms filled with natural daylight. Immerse yourself in the vibrant neighborhood, just minutes away from Vondelpark and a short walk to Museumplein and Leidseplein. Book now and experience the best of Amsterdam from the comfort of this inviting apartment in the heart of the city!",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,"['Blender', 'Free dryer – In unit', 'Baking sheet']",56,4.0,360.0
Luxe en grote appartement 626,No description,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,1.0,2.0,4.0,['Bathtub'],52,4.53,652.0
Deluxe Studio with Private Kitchen,No description,Oud-Oost,Room in hotel,Private room,2,1.0,1.0,1.0,[],243,4.4,212.0
Private studio center Amsterdam,"Discover the vibrant Amsterdam from this perfectly located accommodation! Located in the beating heart of the centre, you'll find your stone's throw away from countless eateries, historical monuments, captivating museums, and quaint tour boats. Enjoy the convenience and comfort of everything you need for an unforgettable vacation, right at your fingertips. Welcome to your ideal base for a perfect stay in this lively city!",Centrum-West,Private room in rental unit,Private room,2,1.0,1.0,1.0,[],62,4.11,161.0
Spacious apartment with  roofterrace by Vondelpark,No description,De Baarsjes - Oud-West,Entire condo,Entire home/apt,4,1.0,2.0,2.0,"['Barbecue utensils', 'Outdoor furniture', 'BBQ grill', 'Bathtub', 'Board games', 'Baking sheet']",347,4.59,569.0
Spacious 3 bedroom family apt,"Spacious and modernly designed 100m2 brand new apartment (2012) in lively neighborhood near Vondelpark. 10 min by tram to Leidseplein/city centre. 1 king (200x180), 1 bunk bed which is good for 2 children or one adult. Perfect for families, 3 adults or couples! E-mail us for questions or more photos.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,3,1.5,3.0,4.0,"['Children’s books and toys', 'Pack ’n play/Travel crib', 'High chair']",17,4.86,200.0
Spaceous Condo with large Rooftop Terrace,"Forget your worries in this spacious and serene space. This beautiful, fully furnished and renovated condo has 2 floors, space to work and relax and an amazing rooftop terrace with bbq and lounge area.<br /><br />On the first floor, you will find a spacious living and dining room with an open and fully equipped kitchen. <br /><br />In the living room will also be the extra foldout bed for 1 person.<br /><br />Upstairs, you will find the master bedroom, a kingsize bed (1.8x2.2m) and the big bathroom.",De Baarsjes - Oud-West,Entire condo,Entire home/apt,3,1.5,1.0,2.0,"['Free washer – In unit', 'Barbecue utensils', 'Outdoor furniture', 'BBQ grill', 'Blender', 'Bathtub', 'Free dryer – In unit', 'Board games', 'Outdoor dining area', 'Baking sheet']",47,4.644438018122229,230.0
Private canal room w bathroom - Windmill view,"Experience the heart of Amsterdam from this canal-front gem with a view of an iconic windmill. <br />- Enjoy the luxury of your own attached bathroom<br />- a designated workspace with a screen<br />- and essentials like towels and shower gel. <br /><br />Central Station is a convenient bike ride of under 10 minutes, ensuring easy access to the city's vibrant attractions. Immerse yourself in the perfect blend of comfort, Dutch charm, and accessibility during your stay.<br />Toilet is shared with the residents.",Oud-Oost,Private room in rental unit,Private room,2,1.0,1.0,1.0,[],190,4.5,115.0
Appartement in Amsterdam,"Stay as a local in a beautiful modern furnished apartment in Amsterdam West, only 10 minutes from the city center. Apartment is close to the famous Rijksmuseum, Vondelpark, Leidse Square and Foodhallen, and many more.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],348,4.5,220.0
Phenomenal canal view Apartment,"Your family will have all comforts needed when you stay at this centrally-located place. A short walk to the famous Vondelpark, located in the heart of the vibrant Oud-West/ De Baarsjes neighbourhood. You will find loads of shops, restaurants & playgrounds. A perfect base to explore Amsterdam with your family. <br /><br />The apartment has beautiful canal view which you will enjoy hugely. Also a 30 square meter patio filled with plants and trees, perfect for outdoor dining or drinks. Very kids friendly.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,1.0,2.0,1.0,"['Free washer – In unit', 'Private backyard – Fully fenced', 'Outdoor furniture', 'BBQ grill', 'Canal view', 'Free dryer – In unit', 'Children’s books and toys', 'Children’s dinnerware', 'Board games', 'Outdoor dining area']",90,4.67,359.0
canal-view flat (cozy minimalist style),"The beautiful and comfy 50m2 sized flat is on the 2nd floor of a building in front of an Amsterdam canal. It's on the border of the dynamic areas of Oud West and de Baarsjes - within 5min bike trip to the Westerkerk, Vondelpark, Leidseplein, Westerpark.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,3,1.5,1.0,2.0,"['Free washer – In unit', 'Canal view']",23,4.49,333.0
The Quay Amsterdam,"Stylish B&B (60 square m) right at a lovely park, tenniscourt, yoga center and in the middle of a very picturesque neighbourhood in Amsterdam Noord. The loft is 10 minutes bike or bus/METRO ride from the Central Station and the centre of Amsterdam.<br />A bright apartment  in a former shipswarf in the most upcoming part of Amsterdam: 'Amsterdam Noord' There is sofa,  flatscreen, microwave, fridge,  a dishwasher, a toaster, a coffee machine. The property  provides towels and bed linen.",Oud-Noord,Entire condo,Entire home/apt,4,1.0,2.0,4.0,[],221,4.65,210.0
Spacious apartment for 2.,"Spacious apartment for 2. Close to city center, 20 min by foot or 10 min by public transport. Cosy neibhourhood with lots of",Bos en Lommer,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Blender']",4,4.69,177.0
Motor Yacht Almaz close to the centre of Amsterdam,"Make your visit to Amsterdam even more special, stay on your own private motor yacht 'Almaz'. The yacht offers all facilities and comfort and will make your stay unforgettable. A stay aboard the Almaz is a wonderful way to experience Amsterdam. This beautiful ship is no less than 12.00 meters long and offers a lot of charm and cosiness. We can accommodate up to 4 guests. Of course you have the whole ship to yourself. If not available, look at the yachts Amstelle, Amazone and Flint. Same location",Buitenveldert - Zuidas,Private room in boat,Private room,4,1.5,2.0,2.0,[],275,4.57,170.0
"NEW Amazing private Amsterdam Studio, free parking","Set in Amsterdam, this Boutique B&B Wharf offers accommodation with free WiFi. There is also a kitchenette equipped with a dishwasher. <br /><br />We live in a neighborhood where you can feel the real sentiment of Amsterdam. This part is not much visited (yet) by tourists which will give you an authentic feel. The street parallel to ours is chosen as the most beautiful street of Amsterdam.",Oud-Noord,Entire rental unit,Entire home/apt,4,1.5,0.0,3.0,"['Babysitter recommendations', 'Children’s books and toys', 'Board games']",285,4.75,180.0
Flow: four persons Room,"The FLOW is a peaceful oasis in the center of Amsterdam. We are looking for guests who enjoy a unique stay on a boat and will not be partying as this does not fit with our other guests. This hostel offers adult accommodation with a shared lounge and a terrace as well as concierge service and free Wi-Fi. The shared bathroom includes a shower, and all rooms at the hostel are fitted with bed linen and towels.  The beds can comfortably fit up to 185 cm in length.",Centrum-Oost,Private room in boat,Private room,4,2.0,1.0,4.0,[],138,4.0,173.0
Luxurious private suite City center of Amsterdam,"""Air-conditioned"" Luxury private suite "" Boutique Hotel Style ""  in City center of Amsterdam.<br />Situated in the Wolvenstraat, HEART of Amsterdam between the Herengracht and Keizersgracht.<br />In this 35m2/375 sq/ft suite, you can enjoy a "" private"" bathroom with two rain-showers together, a king-size bed, flat screen smart TV with internet, free wifi, tea and coffee (Nespresso) making facilities.<br />It is a completed, small apartment in popular shopping area "" the nine streets "".",Centrum-West,Private room in rental unit,Private room,2,1.0,1.0,1.0,[],287,4.83,254.0
Heerlijk familie huis met tuin,"Are you looking for a nice family home within the ring of Amsterdam? Then we warmly welcome you!<br /><br />Our house is in Amstedam Noord, 20 minutes by public transport to the city center. The house has 3 bedrooms, including 2 children's rooms. An additional double bed is on the 2nd floor (currently renovating. Photos to follow!).<br /><br />Our house has its own garden and is also adjacent to a shared courtyard garden, where children can also play nicely.",Noord-Oost,Entire home,Entire home/apt,4,1.0,3.0,2.0,"['Outdoor dining area', 'BBQ grill']",185,4.0,275.0
Bright & Spacious 1-Bedroom Apt,"Our bright Amsterdam apartment offers the perfect base to explore the city for a few days or to feel at home for a little longer. The neighborhood of De Baarsjes is an upcoming area in the west of Amsterdam. The apartment is just a 15-minute walk from the Jordaan area and has tram and bus stops, as well as a grocery store, all within a 500m walk. You’ll find plenty of restaurants, bars, and activities within walking distance. <br />Please feel free to contact us for any questions or recommendations!",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Outdoor furniture', 'Blender']",17,5.0,225.0
Luxurious designapartment with magnificent view,This apartment is built under architecture (MKA) and has a magnificent view over the sea (IJsselmeer). You will experience Amsterdam in the best possible way. Take the tram to central station and within 20 minutes you will be in the middle of this great city. When you need to relax to proces all the impressions this place is just perfect. You can book this apartment directly on the next link: https://www.airbnb.nl/rooms/18382396?preview_for_ml,IJburg - Zeeburgereiland,Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,"['Outdoor furniture', 'Children’s books and toys', 'Outdoor dining area', 'High chair']",138,4.64,344.0
Dikehouse with bath and double shower Amsterdam,The beautifully furnished more than 100-year-old dike cottage is located on the idyllic Nieuwendammerdijk in Amsterdam. Known by many hikers and cyclists. A quiet place with the hustle and bustle 5 minutes away! <br /><br />The dike cottage is within walking distance of many crazy restaurants and the Noordzuid line that takes you to all the highlights of the city within minutes.,Oud-Noord,Entire loft,Entire home/apt,2,1.5,1.0,1.0,"['Private backyard – Fully fenced', 'Outdoor furniture', 'Bathtub', 'Children’s dinnerware', 'Board games']",203,4.73,242.0
Edge of Amsterdam near farm area,Leave your everyday worries behind in this spacious and tranquil room!<br />My apartment is located Amsterdam Nood where is almost edge of city circle free way -A10. There are a lot of park where various birds and small animals (such as rabbits) live. It's totally quiet and relaxed area but still accessible to city center and daily needs.,Noord-Oost,Private room in rental unit,Private room,2,1.0,1.0,1.0,"['Blender', 'Baking sheet']",66,4.67,95.0
Waterfront green&lush Amsterdam,"Unique waterfront house, view on a typical dutch windmill (Krijtmolen ""de Admiraal""). Lush green and friendly neighbourhood.<br />10 min bicycle ride from Central Station; easy and safe on dedicated cycling path, along the canal.<br />Rented only for families for full week. <br />5 min from shopping centre, supermarket, and public transport. <br />We have two cats and we do ask you to feed them; although we have an automatic feeding machine so you'r not stuck feeding them.",Oud-Noord,Entire home,Entire home/apt,4,2.0,3.0,4.0,"['Barbecue utensils', 'Outdoor furniture', 'Piano', 'BBQ grill', 'Outdoor dining area', 'Baking sheet']",40,4.644438018122229,245.0
"Comfortable family home, near city center","Nice, comfortable family house, 10 minutes from the city center, with cheap parking places in front (possible to charge electric cars).<br />The house is spacious and suitable for a family (up to 4 people).<br />It is located in a quiet, child friendly neighborhood from Amsterdam.<br />Good connection by public transport, closed to commercial area and picturesque dutch countryside.",Noord-Oost,Entire home,Entire home/apt,4,2.0,2.0,3.0,"['Free washer – In unit', 'Private backyard – Fully fenced', 'Outdoor furniture', 'BBQ grill', 'Bathtub', 'Free dryer – In unit', 'Children’s dinnerware', 'Pack ’n play/Travel crib']",8,4.71,285.0
Beautiful apartment Amstel River,"Bright apartment on Weesperzijde with captivating Amstel river panorama. Expansive living area seamlessly integrates with an open kitchen, framed by large windows for abundant natural light. French balcony connects to the river view. Tranquil bedroom with rear balcony. Tailored for expats, fully furnished with all essentials for a smooth transition. Ideal for a seamless Amsterdam living experience.",Oud-Oost,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Bathtub']",197,4.75,173.0
73m2 Apartment near Jordaan,Welcome to the newly renovated luxury apartment on the outskirts of the canal belt. Enjoy 73 square feet of comfort and light in town centre against the historic Jordaan neighborhood. The apartment on the second floor has a lot of light from the sun all day and has a nice little balcony facing the water. Slept on the quiet back where the bathroom is also adjacent.,Centrum-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Canal view', 'Free dryer – In unit']",92,5.0,250.0
Amsterdam Loft with roof terrace,"This typical Amsterdam Loft has a roof terrace with BBQ, a balcony facing South and a stylish interior. It is located in a very green and quiet neighborhood, while only being 5 minutes away from De Pijp en 10 minutes from the City Center (canals).",De Pijp - Rivierenbuurt,Entire home,Entire home/apt,3,1.0,1.0,2.0,"['Free washer – In unit', 'Outdoor furniture', 'BBQ grill', 'Outdoor dining area']",234,5.0,400.0
Apt ‘Van Hil’ in de Pijp: close to Rai & centre,"Great quiet apartment in the hottest & hippest neighborhood 'de Pijp'.Live like a local in a vibrant neighbourhood! Lots of independent shops & within walking distance of the centre,Museum quarter,Vondelpark,Rai Congress center(10min) Okura hotel(1)&the famous Albert Cuyp Market!(5).South facing private garden-patio.  <br /><br />Private,ground floor-street entrance.Fully equipped  kitchen,separate bedroom,bathroom&toilet.Paid parking on street. Restaurants,supermarket,metro&trams super close by. Welcome!",De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"['Free washer – In unit', 'Barbecue utensils', 'Private backyard – Fully fenced', 'Babysitter recommendations', 'Outdoor furniture', 'BBQ grill', 'Free dryer – In unit', 'Board games', 'Baking sheet', 'Outdoor dining area']",45,4.72,250.0
Luxurious & Spacious Apartment at Amsterdam Zuidas,"This apartment is truly exceptional, boasting a luxurious and spacious design coupled with a prime location at the heart of Amsterdam's Zuidas. With abundant natural light and stunning views, it offers a unique living experience. The apartment features two bedrooms, two bathrooms, two toilets, a balcony, and a fully equipped kitchen, ensuring both comfort and convenience for its residents. Additionally, it comes with a private parking spot, which is provided free of charge.",Buitenveldert - Zuidas,Entire condo,Entire home/apt,4,3.0,2.0,2.0,"['Outdoor furniture', 'Bathtub']",0,5.0,592.0
Modern Roof terrace condo + Canal view,"'David's Roof Terrace Apartment' is within a stone throw of the well-known: Van Gogh Museum, Rijksmuseum, Albert Cuypmarkt, Vondelpark, Sarphatipark, Heineken Experience and many more. Making it a great location to explore bruising Amsterdam by foot. With its amazing and unique Roof Terrace you can enjoy the view of Amsterdam while drinking and grilling some food on the BBQ. The modern and cozy space makes it great for couples and business travellers.",Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Barbecue utensils', 'Outdoor furniture', 'BBQ grill', 'Canal view', 'City skyline view']",249,4.2,250.0
Apartment in the up and coming East,"Hi there!!<br /><br />Thanks for taking a look into my home!  I live in the up and coming East Side of Amsterdam. A stone's throw from the picturesque Amstel river and a two minute stroll to the exciting dance floors of Trouw, Doka",Oud-Oost,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Outdoor furniture', 'Board games']",2,4.78,151.0
Lovely apartement near the city center,This beautiful appartement with 2 single beds next to each other is on the ground floor in a quite neighbourhood yet near the center. There is a car-free square in front of the house where you can sit and relax. Its a quiet neighbourhood so please keep it keep it low @ night & NO PARTYS.,Oud-Oost,Entire condo,Entire home/apt,2,0.0,1.0,3.0,[],2,4.36,100.0
Family stay in Amsterdam.,"Make new memories in this unique, family-friendly place to stay. a very quiet place and close to the city center, 25 min by metro and direct. the beach is a 5 minute walk away, everything for your comfort, ideal place with kids or friends. <br />The best or ideal!",Gaasperdam - Driemond,Private room in home,Private room,4,1.0,2.0,2.0,[],188,4.644438018122229,250.0
Ground floor apartment with garden near Vondelpark,No description,Zuid,Entire condo,Entire home/apt,4,1.0,2.0,2.0,"['Private backyard – Fully fenced', 'Children’s books and toys', 'Outdoor dining area', 'High chair']",25,4.644438018122229,250.0
Amsterdam appartement aan het water!,No description,Zuid,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"['Free washer – In unit', 'Outdoor furniture', 'Canal view', 'Outdoor dining area', 'Baking sheet']",22,4.644438018122229,150.0
Gezellig en licht appartement in Oud-Zuid,"The apartment is in a nice location in the quiet Amsterdam Oud-Zuid. The neighborhood has nice cafes, bars and restaurants and a market on Saturday. The Vondelpark is within walking distance, and with public transportation, you'll be right in the heart of the city in 15 minutes.<br /><br />It is a bright apartment located on the first floor. There is 1 bedroom with a 2-person bed. There's an open kitchen on the living room with dining space and associated facilities.<br /><br />Registration number: <br />0363 0F68 9154 EFFF 66FE",Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],134,4.77,200.0
"Central Pijp area, next to restaurants and musea","Your room is at the most central spot of the Pijp, right in the middle of the famous  Albert Cuyp market.<br /><br />Note: the kitchen and bathroom is shared with the owners.<br /><br />The Pijp is the 'quartier Latin' of Amsterdam with many nice restaurants and bars. The subway station is in the same street, but most city highlights are within walking distance. Almost next to Rijksmuseum and Van Gogh!<br /><br />We are plant lovers and created this green oasis in the middle of the bustling city. Welcome!",De Pijp - Rivierenbuurt,Private room in rental unit,Private room,2,1.5,1.0,1.0,[],57,4.71,132.0
City Break Amsterdam city Center - Room 2,"City Break Amsterdam is situated in the heart of the city where everything begins.<br /><br />t's a small but secure building, it is cozy, warm and clean. We are a convenient walk away from Central Station and very close to other public transport.<br /><br />Our living room is shared with the guests as a common room where you can prepare a quick meal and make some tea and coffee.",Centrum-West,Private room in bed and breakfast,Private room,2,1.0,1.0,2.0,[],184,4.72,200.0
Central North Amsterdam - 5min to Central Station,"Light-full apartment 5 min away from central station.  The apartment develops in two floors where the upper floor hosts your bedroom, the owner's bedroom (which will be locked) and a shared bathroom. At the first floor you have the fully equipped kitchen and the living room, along with an extra small toilet.",Oud-Noord,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,['Board games'],128,4.72,204.0
Superb loft apartment in de Pijp!,"Luxurious apartment in one of the nicest areas Amsterdam has to offer. Fully equipped, centrally located with bars, outdoor market and shops at walking distance. Bicycle rental, metro/subway and tram-stop around the corner.<br /><br />Attention, due to previous long term rental no art is hanging on the walls. The bbq is also not available, contrary to the provided pictures.",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],216,4.84,250.0
Short stay with amazing roof terrace,"Elegant two bedroom apartment with canal view, located in the Centre Area of Amsterdam. This fully furnished apartment, with lots of light, is located on the 4th floor, was completely renovated in 2014.<br />The biggest plus of the apartment is the amazing rooftop terrace with 360 views over the entire city. The apartment offers everything you need for a comfortable stay in Amsterdam.",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,['High chair'],0,4.6,155.0
"Urban oasis, Amsterdam meets city beach","Our designy home is warm, inviting, clean, very comfortable, with a calm ambiance. <br /><br />Many products in our place come from the designers and labels that we worked with in our previous design business  :) <br /><br />Enjoy our large Samsung Frame TV with Netflix, HBO and Disney.<br /><br />We have a sunny backyard with a lovely garden set.<br />There is 1 master bedroom  (children's rooms in consult).<br /><br />We warmly welcome you to our family home.",Geuzenveld - Slotermeer,Entire townhouse,Entire home/apt,2,1.5,1.0,1.0,"['Free washer – In unit', 'Private backyard – Fully fenced', 'Babysitter recommendations', 'Outdoor furniture', 'Blender', 'Bathtub', 'Free dryer – In unit', 'Children’s dinnerware', 'Board games', 'Outdoor dining area', 'Baking sheet']",2,5.0,199.0
"Great location, super for family, free parking","New appt in quiet, green neighborhood in convenient, authentic & cool Amsterdam-West. Ideal home base to easily explore attractions of Amsterdam-Centre all day while coming back to enjoy peace & quiet to sleep.<br /><br />Ground-level, private entrance from sidewalk. 20 min from airport, 12-15 minutes to heart of city center (e.g. Jordaan, Leidseplein). Metro, trams & bus literally around the corner. Open-air markets, stores, supermarkets, rest/cafes, (dog)parks & playgrounds nearby. Kid friendly",Bos en Lommer,Entire condo,Entire home/apt,4,1.5,1.0,3.0,"['Free washer – In unit', 'Blender', 'Free dryer – In unit', 'Board games', 'Baking sheet']",88,4.54,285.0
Spacious and characteristic loft with canal view,"Comfortable fully furnished loft/apartment with a mix of quality designer and vintage furniture, complemented with artworks from the painter who lived here for decades. <br /><br />At the front side of the apartment you have a great canal view and at the backside a view on the quiet garden with a beautiful Magnolia tree.<br /><br />Although very centrally located in a lively neighbourhood in the city center, the street and the house is quiet, which is highly appreciated by the owners, two architects,  as well.",Centrum-Oost,Entire loft,Entire home/apt,2,1.5,1.0,1.0,"['Canal view', 'Baking sheet']",136,4.98,254.0
NEW: Urban Oasis: Beautiful Suite in De Pijp,Cosy studio for two with all amenities present!,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"['Free washer – In unit', 'Free dryer – In unit']",13,5.0,170.0
Amsterdamse loft met veel licht en groen,"The house is well insulated and equipped with every comfort, there is also a lot of light and plants. There is also a lunch room in the complex The Villy for a delicious breakfast and lunch. The place is central and within a few minutes walking there is access to public transport.",Bos en Lommer,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"['Blender', 'City skyline view']",263,4.75,180.0
Bright Apartment With Balconies,"Welcome to your serene Amsterdam retreat! Enjoy two balconies, east and west-facing, perfect for morning coffee and evening sunsets.<br /><br />- King size bed<br />- Additional office room<br />- Just a 1-minute walk to beautiful Rembrandtpark<br />- Set in a quiet neighbourhood<br />- Reach the city center in a 15-minute bike ride<br />- Metro in 7 minutes on foot<br />- The train station, a 15-minute walk away, offers a quick 6-minute connection to the airport<br /><br />Ideal for a peaceful yet convenient stay.",Slotervaart,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,['Board games'],39,4.644438018122229,149.0
"Family Home (No drugs, smoking or parties)","This is a beautiful family home in a lovely part of Amsterdam, Bos en Lommer. It's a recently build house, connected to a friendly little square with a small garden. Only 10 minutes by bike from city centre, museums etc. Quiet and comfortable. It's not suitable for parties, drugs or alcohol and we prefer families or couples.",Bos en Lommer,Entire townhouse,Entire home/apt,5,1.5,3.0,3.0,[],2,4.76,130.0
Modern apartment  close to city centre,"A stylish apartment located only 5 minutes away from the heart of Amsterdam. Situated in a quiet area, but plenty of bars, supermarkets and public transportation in the area. Perfect place to stay during your trip to Amsterdam.<br /><br />If you come to Amsterdam only for party or smoking weed please don't book with us.",Oud-Noord,Entire condo,Entire home/apt,3,1.5,2.0,2.0,"['Free washer – In unit', 'Outdoor furniture', 'Piano', 'Blender', 'Free dryer – In unit', 'Board games', 'Outdoor dining area']",272,4.5,280.0
Het Zaanse sprookjeshuis,"This beautiful house, dating from 1900, has been kept in its original state from the outside, whilst the inside has been renovated to accompany today's needs. It is perfect for families and situated in a quiet and child-friendly neighborhood.  On one hand you have the ferry to Amsterdam center, with all entertainment one can wish for. At the same time you have the Twiske park close, perfect for kids and sports.",Noord-West,Entire home,Entire home/apt,4,1.0,3.0,2.0,"['Private backyard – Fully fenced', 'Blender', 'Bathtub', 'Free dryer – In unit', 'Children’s books and toys', 'Children’s dinnerware', 'Board games', 'High chair', 'Baking sheet']",27,4.83,200.0
Bright and beautiful family home,"This lovely family home has everything you need for a great stay in Amsterdam. It is very bright, easy accesible, fully equipped kitchen and is around the corner of the popular Westerpark area with its great atmosphere, bars and restaurants. Only 10 minutes from the City Centre and the Jordaan with its famous canals.",Westerpark,Entire townhouse,Entire home/apt,4,1.5,2.0,2.0,"['Children’s books and toys', 'High chair']",55,4.36,225.0
Spacious apartment in the ' pijp ',"Bustling area within walking distance of the museums. Very wide range of restaurants and bars just around the corner.<br /><br />Coffee and tea can be made in the apartment, breakfast around the corner in one of the bakery's or coffee shops.",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.5,0.0,1.0,"['Blender', 'Pack ’n play/Travel crib']",337,4.7,200.0
Stijlvol gezellig appartement,"Relax and unwind in this nice apartment at 10 minutes' walking distance from Vondelpark. South station is a 15-minute walk away and tram 24 is a 5-minute walk away, in short, you will be in the city center or the pipe in no time. If you want the real Amsterdam experience, rent a bike.<br /><br />It meets all requirements, it contains a stove, oven, bath, washing machine, dryer, 2 TVs, a very spacious comfortable sofa and a nice balcony.<br /><br />It is a nice quiet neighborhood with lovely neighbors. I enjoy every day here.",Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Bathtub', 'Outdoor dining area']",43,4.644438018122229,202.0
